cluster,status,consolidation_target,legacy_path,clicks,impressions,title
wisdom_tooth_cluster,pending-batch-3,(existing Batch 1 تفاوت-کشیدن-دندان-و-جراحی-دندان-عقل is the closest match; other posts still need individual review),/همه-چیز-در-مورد-دندان-عقل,6,348,همه چیز در مورد دندان عقل
wisdom_tooth_cluster,pending-batch-3,(existing Batch 1 تفاوت-کشیدن-دندان-و-جراحی-دندان-عقل is the closest match; other posts still need individual review),/تفاوت-جراحی-دندان-عقل-با-کشیدن-ساده,5,375,تفاوت جراحی دندان عقل با کشیدن ساده | راهنمای کامل توسط دکتر علیرضا صدیقی
wisdom_tooth_cluster,pending-batch-3,(existing Batch 1 تفاوت-کشیدن-دندان-و-جراحی-دندان-عقل is the closest match; other posts still need individual review),/درد-دندان-عقل,9,335,چرا دندان عقل درد می‌کند؟ دلایل و راه‌حل‌های تخصصی
why_choose_dr_sadighi_jaw,approved-not-migrated-see-about,"/about (content recommended for /about or trust blocks later, not implemented this task)",/بهترین-جراح-فک-در-تبریز-راهنمای-کامل-ا,59,5148,بهترین جراح فک در تبریز - راهنمای کامل انتخاب و نکات مهم
why_choose_dr_sadighi_jaw,approved-not-migrated-see-about,"/about (content recommended for /about or trust blocks later, not implemented this task)",/چرا-دکتر-علیرضا-صدیقی-را-برای-جراحی-فک-ا,39,1723,چرا دکتر علیرضا صدیقی را برای جراحی فک انتخاب کنیم: انتخابی برتر برای دقت و برتری
why_choose_dr_sadighi_jaw,approved-not-migrated-see-about,"/about (content recommended for /about or trust blocks later, not implemented this task)",/مزایای-جراحی-فک-و-معرفی-بهترین-جراح-فک،,16,734,مزایای جراحی فک و معرفی بهترین جراح فک، دکتر علیرضا صدیقی
why_choose_dr_sadighi_jaw,approved-not-migrated-see-about,"/about (content recommended for /about or trust blocks later, not implemented this task)",/why-choose-dr-alireza-sedighi-for-jaw-surgery-a-top-choice-for-precision-and-excellence,0,0,Why Choose Dr. Alireza Sedighi for Jaw Surgery: A Top Choice for Precision and Excellence
patient_testimonial_stubs,reserved-for-future-testimonials-feature,"(not migrated — reserved for a future Real Patient Stories/testimonials section, not Knowledge Center)",/رضایت-بیمار-از-جراحی-فک,12,192,رضایت بیمار از جراحی فک
patient_testimonial_stubs,reserved-for-future-testimonials-feature,"(not migrated — reserved for a future Real Patient Stories/testimonials section, not Knowledge Center)",/رضایت-بیمار-از-جراحی-فک-بالا-و-پایین,2,16,رضایت بیمار از جراحی فک بالا و پایین
patient_testimonial_stubs,reserved-for-future-testimonials-feature,"(not migrated — reserved for a future Real Patient Stories/testimonials section, not Knowledge Center)",/رضایت-بیمار-پس-از-جراحی-بلفاروپلاستی,7,110,رضایت بیمار پس از جراحی بلفاروپلاستی
patient_testimonial_stubs,reserved-for-future-testimonials-feature,"(not migrated — reserved for a future Real Patient Stories/testimonials section, not Knowledge Center)",/رضایت-بیمار-از-جراحی-بینی,1,158,رضایت بیمار از جراحی بینی
implant_success_story,pending-batch-4,"(thin content, low value, redirect-only candidate)",/موفقیت-۱۳-واحد-ایمپلنت-پساز-دو-سال-بی,1,130,موفقیت ۱۳ واحد ایمپلنت پس‌از دو سال بی هیچ مشکلی
