current_url,title,clicks,impressions,ctr,position,topic_cluster,current_content_quality,recommended_action,proposed_next_url,redirect_required,reason_for_p0_launch,manual_review_required,notes
https://dralirezasadighi.com/ایمپلنت-فوری-در-تبریز/,ایمپلنت فوری در تبریز: کاشت دندان در یک روز با تکنولوژی پیشرفته در کلینیک دکتر صدیقی,165,3075,0.0537,14.56,advanced-dental-implant,strong,migrate-to-knowledge-center,/fa/knowledge/ایمپلنت-فوری-در-تبریز,yes,High click volume (165 clicks) — real organic traffic at risk of loss if this 404s.,no,Substantial standalone article on core topic (advanced-dental-implant); migrate into Knowledge Center as its own article and redirect old URL to it; cross-link from /fa/services/advanced-dental-implant.
https://dralirezasadighi.com/about-us/,درباره ما,148,21575,0.0069,5.83,doctor-profile,strong,redirect-to-home-or-about,/fa/about,yes,"Structural page (about/contact) — must resolve cleanly at launch regardless of traffic volume, patients and referral links depend on it. High click volume (148 clicks) — real organic traffic at risk of loss if this 404s.",no,About/biography-style content — consolidate into the new About page.
https://dralirezasadighi.com/ریلپس-یا-بازگشت-پس-از-عمل-جراحی-فک-با-تا/,ریلپس یا بازگشت پس از عمل جراحی فک با تاکید بر پوزیشنینگ قطعه پروکسیمال مندیبل و آزادسازی عضلات,145,1756,0.0826,6.08,orthognathic-surgery,strong,migrate-to-knowledge-center,/fa/knowledge/ریلپس-یا-بازگشت-پس-از-عمل-جراحی-فک-با-تا,yes,High click volume (145 clicks) — real organic traffic at risk of loss if this 404s.,no,Substantial standalone article on core topic (orthognathic-surgery); migrate into Knowledge Center as its own article and redirect old URL to it; cross-link from /fa/services/orthognathic-surgery.
https://dralirezasadighi.com/25-سوال-متداول-در-مورد-جراحی-دندان-عقل-نه/,25 سوال متداول در مورد جراحی دندان عقل نهفته,141,2541,0.0555,7.55,impacted-tooth-surgery,strong,migrate-to-knowledge-center,/fa/knowledge/25-سوال-متداول-در-مورد-جراحی-دندان-عقل-نه,yes,High click volume (141 clicks) — real organic traffic at risk of loss if this 404s.,no,Substantial standalone article on core topic (impacted-tooth-surgery); migrate into Knowledge Center as its own article and redirect old URL to it; cross-link from /fa/services/impacted-tooth-surgery.
https://dralirezasadighi.com/لیفت-شقیقه-گلایدینگ/,لیفت شقیقه گلایدینگ؛ روش کم‌تهاجمی برای جوانسازی اطراف چشم و شقیقه,134,3971,0.0337,8.69,facial-cosmetic-surgery,strong,migrate-to-knowledge-center,/fa/knowledge/لیفت-شقیقه-گلایدینگ,yes,High click volume (134 clicks) — real organic traffic at risk of loss if this 404s.,no,Substantial standalone article on core topic (facial-cosmetic-surgery); migrate into Knowledge Center as its own article and redirect old URL to it; cross-link from /fa/services/facial-cosmetic-surgery.
https://dralirezasadighi.com/european-nose-job/,عمل بینی اروپایی چیست و برای چه چهره‌هایی مناسب است؟,107,4204,0.0255,4.31,rhinoplasty,strong,migrate-to-knowledge-center,/fa/knowledge/european-nose-job,yes,High click volume (107 clicks) — real organic traffic at risk of loss if this 404s.,no,Substantial standalone article on core topic (rhinoplasty); migrate into Knowledge Center as its own article and redirect old URL to it; cross-link from /fa/services/rhinoplasty.
https://dralirezasadighi.com/25-سوال-متداول-در-مورد-جراحی-تزریق-چربی/,25 سوال متداول در مورد جراحی تزریق چربی,101,1558,0.0648,6.67,care-instructions,strong,needs-manual-review,/fa/care-instructions,yes,"URL COLLISION — 1 WordPress posts share this exact URL (post_ids: 13413); pick the canonical one before migrating, see collision-review.md. High click volume (101 clicks) — real organic traffic at risk of loss if this 404s.",yes,"See collision-review.md for full resolution. DATA ISSUE: 2 WordPress posts (post_ids 8597, 13413) share this exact live URL — WordPress can only serve one of them. Resolve which post is canonical before deciding a migration target. Care-instruction content without a clear match to an existing care topic — review before mapping."
https://dralirezasadighi.com/25-سوال-متداول-در-مورد-تزریق-فیلر-به-ناحی/,25 سوال متداول در مورد تزریق فیلر به ناحیه صورت,100,1399,0.0715,7.65,facial-cosmetic-surgery,strong,migrate-to-knowledge-center,/fa/knowledge/25-سوال-متداول-در-مورد-تزریق-فیلر-به-ناحی,yes,High click volume (100 clicks) — real organic traffic at risk of loss if this 404s.,no,Substantial standalone article on core topic (facial-cosmetic-surgery); migrate into Knowledge Center as its own article and redirect old URL to it; cross-link from /fa/services/facial-cosmetic-surgery.
https://dralirezasadighi.com/تفاوت-کشیدن-دندان-و-جراحی-دندان-عقل/,تفاوت کشیدن دندان و جراحی دندان عقل | بررسی کامل و علمی,98,1533,0.0639,7.77,impacted-tooth-surgery,strong,migrate-to-knowledge-center,/fa/knowledge/تفاوت-کشیدن-دندان-و-جراحی-دندان-عقل,yes,High click volume (98 clicks) — real organic traffic at risk of loss if this 404s.,no,Substantial standalone article on core topic (impacted-tooth-surgery); migrate into Knowledge Center as its own article and redirect old URL to it; cross-link from /fa/services/impacted-tooth-surgery.
https://dralirezasadighi.com/25-سوال-متداول-در-مورد-جراحی-چانه-و-زاویه/,26 سوال متداول در مورد جراحی چانه و زاویه‌سازی فک,84,2947,0.0285,9.82,orthognathic-surgery,strong,migrate-to-knowledge-center,/fa/knowledge/25-سوال-متداول-در-مورد-جراحی-چانه-و-زاویه,yes,High click volume (84 clicks) — real organic traffic at risk of loss if this 404s.,no,Substantial standalone article on core topic (orthognathic-surgery); migrate into Knowledge Center as its own article and redirect old URL to it; cross-link from /fa/services/orthognathic-surgery.
https://dralirezasadighi.com/جراحی-برجستگی-پیشانی/,جراحی برجستگی پیشانی: روش‌ها، مزایا و ملاحظات مهم,78,7312,0.0107,8.61,uncategorized,strong,needs-manual-review,,yes,High click volume (78 clicks) — real organic traffic at risk of loss if this 404s.,yes,Traffic present but topic unclear from title/categories/slug — classify manually before deciding redirect target.
https://dralirezasadighi.com/فیزیوتراپی-بعد-از-جراحی-فک/,فیزیوتراپی بعد از جراحی فک: چرا ضروری است و چه مزایایی دارد؟,78,2175,0.0359,17.32,orthognathic-surgery,strong,migrate-to-knowledge-center,/fa/knowledge/فیزیوتراپی-بعد-از-جراحی-فک,yes,High click volume (78 clicks) — real organic traffic at risk of loss if this 404s.,no,Substantial standalone article on core topic (orthognathic-surgery); migrate into Knowledge Center as its own article and redirect old URL to it; cross-link from /fa/services/orthognathic-surgery.
https://dralirezasadighi.com/لیفت-ابرو-و-شقیقه/,لیفت ابرو و شقیقه,75,15154,0.0049,10.04,facial-cosmetic-surgery,strong,migrate-to-knowledge-center,/fa/knowledge/لیفت-ابرو-و-شقیقه,yes,High click volume (75 clicks) — real organic traffic at risk of loss if this 404s.,no,Substantial standalone article on core topic (facial-cosmetic-surgery); migrate into Knowledge Center as its own article and redirect old URL to it; cross-link from /fa/services/facial-cosmetic-surgery.
https://dralirezasadighi.com/جراحی-فک-پایین-عقب-رفته/,جراحی فک پایین عقب رفته: بهبودی و نتایج بلندمدت,71,4073,0.0174,8.6,orthognathic-surgery,strong,migrate-to-knowledge-center,/fa/knowledge/جراحی-فک-پایین-عقب-رفته,yes,High click volume (71 clicks) — real organic traffic at risk of loss if this 404s.,no,Substantial standalone article on core topic (orthognathic-surgery); migrate into Knowledge Center as its own article and redirect old URL to it; cross-link from /fa/services/orthognathic-surgery.
https://dralirezasadighi.com/جراحی-فک-پایین-جلو-آمده/,راهنمای جامع جراحی فک پایین جلو آمده: هر آنچه باید بدانید,67,5953,0.0113,10.94,orthognathic-surgery,strong,migrate-to-knowledge-center,/fa/knowledge/جراحی-فک-پایین-جلو-آمده,yes,High click volume (67 clicks) — real organic traffic at risk of loss if this 404s.,no,Substantial standalone article on core topic (orthognathic-surgery); migrate into Knowledge Center as its own article and redirect old URL to it; cross-link from /fa/services/orthognathic-surgery.
https://dralirezasadighi.com/نمونه-درمان/,نمونه درمان,67,3337,0.0201,8.12,uncategorized,strong,needs-manual-review,,yes,High click volume (67 clicks) — real organic traffic at risk of loss if this 404s.,yes,Traffic present but topic unclear from title/categories/slug — classify manually before deciding redirect target.
https://dralirezasadighi.com/ایمپلنت-دندان-در-تبریز-پرسش-پاسخ/,ایمپلنت دندان در تبریز؛ پرسش‌های پرتکرار بیماران و پاسخ‌های تخصصی دکتر علیرضا صدیقی,66,1688,0.0391,10.06,advanced-dental-implant,strong,migrate-to-knowledge-center,/fa/knowledge/ایمپلنت-دندان-در-تبریز-پرسش-پاسخ,yes,High click volume (66 clicks) — real organic traffic at risk of loss if this 404s.,no,Substantial standalone article on core topic (advanced-dental-implant); migrate into Knowledge Center as its own article and redirect old URL to it; cross-link from /fa/services/advanced-dental-implant.
https://dralirezasadighi.com/ایمپلنت-اشترومن-در-تبریز/,ایمپلنت اشترومن در تبریز,63,1201,0.0525,17.36,advanced-dental-implant,strong,migrate-to-knowledge-center,/fa/knowledge/ایمپلنت-اشترومن-در-تبریز,yes,High click volume (63 clicks) — real organic traffic at risk of loss if this 404s.,no,Substantial standalone article on core topic (advanced-dental-implant); migrate into Knowledge Center as its own article and redirect old URL to it; cross-link from /fa/services/advanced-dental-implant.
https://dralirezasadighi.com/25-سوال-متداول-در-مورد-جراحی-زیبایی-بین/, 25 سوال متداول در مورد جراحی زیبایی بینی,60,1129,0.0531,6.89,rhinoplasty,strong,migrate-to-knowledge-center,/fa/knowledge/25-سوال-متداول-در-مورد-جراحی-زیبایی-بین,yes,High click volume (60 clicks) — real organic traffic at risk of loss if this 404s.,no,Substantial standalone article on core topic (rhinoplasty); migrate into Knowledge Center as its own article and redirect old URL to it; cross-link from /fa/services/rhinoplasty.
https://dralirezasadighi.com/بلفاروپلاستی/,بلفاروپلاستی,17,9481,0.0018,8.18,blepharoplasty,strong,needs-manual-review,/fa/knowledge/بلفاروپلاستی,yes,"URL COLLISION — 1 WordPress posts share this exact URL (post_ids: 7212); pick the canonical one before migrating, see collision-review.md. Has recorded clicks (17) on a core-service topic (blepharoplasty).",yes,"See collision-review.md for full resolution. DATA ISSUE: 2 WordPress posts (post_ids 7168, 7212) share this exact live URL — WordPress can only serve one of them. Resolve which post is canonical before deciding a migration target. Substantial standalone article on core topic (blepharoplasty); migrate into Knowledge Center as its own article and redirect old URL to it; cross-link from /fa/services/facial-cosmetic-surgery."
