url,clicks,impressions,ctr,position,likely_type,recommended_action,proposed_next_url,notes
https://dralirezasadighi.com/راهنمای-جامع-ایمپلنت-دندان-در-تبریز-مع/,6,296,0.0203,19.51,unknown,redirect-to-knowledge-article,/fa/knowledge/راهنمای-جامع-ایمپلنت-دندان-در-تبریز,"Looks like a historical/renamed permalink for the already-migrated post ""راهنمای جامع ایمپلنت دندان در تبریز"" (https://dralirezasadighi.com/راهنمای-جامع-ایمپلنت-دندان-در-تبریز/) — redirect straight to that post's new URL instead of treating as new content."
https://dralirezasadighi.com/جراحی-بینی/,6,218,0.0275,23.12,unknown,needs-manual-review,,"No confident automatic match — likely an old/renamed slug, an FAQ/utility page, or orphaned content. Needs manual look before deciding."
https://dralirezasadighi.com/سوالات-متداول/,5,411,0.0122,30.68,unknown,needs-manual-review,,"No confident automatic match — likely an old/renamed slug, an FAQ/utility page, or orphaned content. Needs manual look before deciding."
https://dralirezasadighi.com/دکتر-علیرضا-صدیقی/23-2/,5,239,0.0209,6.28,unknown,needs-manual-review,,"No confident automatic match — likely an old/renamed slug, an FAQ/utility page, or orphaned content. Needs manual look before deciding."
https://dralirezasadighi.com/tag/جراحی-دندان-عقل-با-بیهوشی-در-تبریز/,5,110,0.0455,22.25,tag,redirect-to-service-page,/fa/services/impacted-tooth-surgery,WordPress tag archive; no tag-archive equivalent on the new site — redirect to the closest service page (impacted-tooth-surgery).
https://dralirezasadighi.com/tag/کلینیک-زیبایی-تبریز/,5,105,0.0476,9.72,tag,redirect-to-service-page,/fa/services/facial-cosmetic-surgery,WordPress tag archive; no tag-archive equivalent on the new site — redirect to the closest service page (facial-cosmetic-surgery).
https://dralirezasadighi.com/tag/لیفت-شقیقه-گلایدینگ/,5,72,0.0694,6.18,tag,redirect-to-service-page,/fa/services/facial-cosmetic-surgery,WordPress tag archive; no tag-archive equivalent on the new site — redirect to the closest service page (facial-cosmetic-surgery).
https://dralirezasadighi.com/blog-en/,4,298,0.0134,43.22,category,needs-manual-review,,"WordPress blog/category archive — no direct Knowledge Center category-index equivalent exists yet; needs a manual decision (build a category index, or redirect to /fa/knowledge)."
https://dralirezasadighi.com/tag/جراحی-چانه/,4,283,0.0141,38.37,tag,redirect-to-service-page,/fa/services/orthognathic-surgery,WordPress tag archive; no tag-archive equivalent on the new site — redirect to the closest service page (orthognathic-surgery).
https://dralirezasadighi.com/en/25-سوال-متداول-در-مورد-جراحی-تزریق-چربی/,4,250,0.016,17.0,unknown,needs-manual-review,,"English-locale WordPress URL — decide as part of the /en locale rollout (see docs/adr/0005-locale-rollout-en-ar.md), not this Persian-first migration pass."
https://dralirezasadighi.com/tag/جراحی-فک-پایین-عقب-رفته/,4,175,0.0229,62.43,tag,redirect-to-service-page,/fa/services/orthognathic-surgery,WordPress tag archive; no tag-archive equivalent on the new site — redirect to the closest service page (orthognathic-surgery).
https://dralirezasadighi.com/tag/دکتر-ایمپلنت-تبریز/,4,69,0.058,8.96,tag,redirect-to-service-page,/fa/services/advanced-dental-implant,WordPress tag archive; no tag-archive equivalent on the new site — redirect to the closest service page (advanced-dental-implant).
https://dralirezasadighi.com/tag/هزینه-جراحی-فک/,4,69,0.058,32.12,tag,redirect-to-service-page,/fa/services/orthognathic-surgery,WordPress tag archive; no tag-archive equivalent on the new site — redirect to the closest service page (orthognathic-surgery).
https://dralirezasadighi.com/tag/جراحی-فک-با-برش-کم/,4,69,0.058,66.86,tag,redirect-to-service-page,/fa/services/orthognathic-surgery,WordPress tag archive; no tag-archive equivalent on the new site — redirect to the closest service page (orthognathic-surgery).
https://dralirezasadighi.com/tag/جراحی-کندیلکتومی/,4,43,0.093,6.12,tag,needs-manual-review,,WordPress tag archive with no clear single-topic match — pick a redirect target manually (or accept as a 404 if traffic is trivial).
https://dralirezasadighi.com/tag/مراقبتهای-پس-از-جراحی/,4,36,0.1111,32.67,tag,redirect-to-home-or-about,/fa/care-instructions,WordPress tag archive covering care topics — redirect to the care-instructions index.
https://dralirezasadighi.com/tag/لیفت-شقیقه-گلایدینگ؛-جوانسازی-طبیعی-ب/,4,17,0.2353,6.47,tag,redirect-to-service-page,/fa/services/facial-cosmetic-surgery,WordPress tag archive; no tag-archive equivalent on the new site — redirect to the closest service page (facial-cosmetic-surgery).
https://dralirezasadighi.com/en/facial-asymmetry-due-to-trauma-causes-diagnosis-and-treatment/,3,416,0.0072,15.08,unknown,needs-manual-review,,"English-locale WordPress URL — decide as part of the /en locale rollout (see docs/adr/0005-locale-rollout-en-ar.md), not this Persian-first migration pass."
https://dralirezasadighi.com/tag/ایمپلنت-فوری-در-تبریز/,3,149,0.0201,10.52,tag,redirect-to-service-page,/fa/services/advanced-dental-implant,WordPress tag archive; no tag-archive equivalent on the new site — redirect to the closest service page (advanced-dental-implant).
https://dralirezasadighi.com/tag/هزینه-جراحی-فک-کمتهاجمی/,3,144,0.0208,10.13,tag,redirect-to-service-page,/fa/services/orthognathic-surgery,WordPress tag archive; no tag-archive equivalent on the new site — redirect to the closest service page (orthognathic-surgery).
https://dralirezasadighi.com/tag/ویژگیهای-شکل-بینی-اروپایی/,3,118,0.0254,7.53,tag,redirect-to-service-page,/fa/services/rhinoplasty,WordPress tag archive; no tag-archive equivalent on the new site — redirect to the closest service page (rhinoplasty).
https://dralirezasadighi.com/blog/دسته-بندی-نشده/سینوس-لیفت/,3,114,0.0263,73.48,category,redirect-to-service-page,/fa/services/facial-cosmetic-surgery,WordPress blog/category archive; redirect to the closest matching service page.
https://dralirezasadighi.com/tag/نظرات-بیماران-دکتر-علیرضا-صدیقی/,3,99,0.0303,7.63,tag,redirect-to-home-or-about,/fa/about,WordPress tag archive about the doctor/clinic brand — redirect to About.
https://dralirezasadighi.com/tag/کلینیک-زیبایی-تهران/,3,90,0.0333,75.94,tag,redirect-to-service-page,/fa/services/facial-cosmetic-surgery,WordPress tag archive; no tag-archive equivalent on the new site — redirect to the closest service page (facial-cosmetic-surgery).
https://dralirezasadighi.com/tag/بازگرداندن-لبخند/,3,67,0.0448,84.99,tag,needs-manual-review,,WordPress tag archive with no clear single-topic match — pick a redirect target manually (or accept as a 404 if traffic is trivial).
https://dralirezasadighi.com/tag/بهبودی-بعد-از-جراحی/,3,60,0.05,25.27,tag,needs-manual-review,,WordPress tag archive with no clear single-topic match — pick a redirect target manually (or accept as a 404 if traffic is trivial).
https://dralirezasadighi.com/مقالات/,3,41,0.0732,60.93,unknown,needs-manual-review,,"No confident automatic match — likely an old/renamed slug, an FAQ/utility page, or orphaned content. Needs manual look before deciding."
https://dralirezasadighi.com/tag/مراقبتهای-پس-از-جراحی-بینی-به-سبک-ارو/,3,35,0.0857,9.66,tag,redirect-to-service-page,/fa/services/rhinoplasty,WordPress tag archive; no tag-archive equivalent on the new site — redirect to the closest service page (rhinoplasty).
https://dralirezasadighi.com/روشهای-نوین-جراحی-برای-اصلاح-جلوآمدگ/,3,33,0.0909,17.64,unknown,needs-manual-review,,"No confident automatic match — likely an old/renamed slug, an FAQ/utility page, or orphaned content. Needs manual look before deciding."
https://dralirezasadighi.com/مراقبت-های-بعد-از-عمل/,3,27,0.1111,44.74,unknown,needs-manual-review,,"No confident automatic match — likely an old/renamed slug, an FAQ/utility page, or orphaned content. Needs manual look before deciding."
https://dralirezasadighi.com/tag/زیبایی-فک/,3,16,0.1875,73.06,tag,redirect-to-service-page,/fa/services/facial-cosmetic-surgery,WordPress tag archive; no tag-archive equivalent on the new site — redirect to the closest service page (facial-cosmetic-surgery).
https://dralirezasadighi.com/en/post-surgery-jaw-physiotherapy-a-comprehensive-guide-for-faster-recovery-with-effective-exercises/,2,358,0.0056,11.06,unknown,needs-manual-review,,"English-locale WordPress URL — decide as part of the /en locale rollout (see docs/adr/0005-locale-rollout-en-ar.md), not this Persian-first migration pass."
https://dralirezasadighi.com/tag/پروگناتیسم/,2,285,0.007,40.41,tag,needs-manual-review,,WordPress tag archive with no clear single-topic match — pick a redirect target manually (or accept as a 404 if traffic is trivial).
https://dralirezasadighi.com/tag/دندانپزشکی-اقساطی-در-تبریز/,2,177,0.0113,21.03,tag,needs-manual-review,,WordPress tag archive with no clear single-topic match — pick a redirect target manually (or accept as a 404 if traffic is trivial).
https://dralirezasadighi.com/tag/جراحی-لیفت-در-تبریز/,2,156,0.0128,39.4,tag,redirect-to-service-page,/fa/services/facial-cosmetic-surgery,WordPress tag archive; no tag-archive equivalent on the new site — redirect to the closest service page (facial-cosmetic-surgery).
https://dralirezasadighi.com/en/recessed-lower-jaw-causes-symptoms-and-treatment/,1,1830,0.0005,44.59,unknown,needs-manual-review,,"English-locale WordPress URL — decide as part of the /en locale rollout (see docs/adr/0005-locale-rollout-en-ar.md), not this Persian-first migration pass."
https://dralirezasadighi.com/tag/لبخند-لثهای-چیست؟/,1,241,0.0041,11.59,tag,needs-manual-review,,WordPress tag archive with no clear single-topic match — pick a redirect target manually (or accept as a 404 if traffic is trivial).
https://dralirezasadighi.com/راهنمای-جامع-جراحی-فک-پایین-جلو-آمده-هر/,1,236,0.0042,20.08,unknown,needs-manual-review,,"No confident automatic match — likely an old/renamed slug, an FAQ/utility page, or orphaned content. Needs manual look before deciding."
https://dralirezasadighi.com/blog/,1,187,0.0053,14.75,category,needs-manual-review,,"WordPress blog/category archive — no direct Knowledge Center category-index equivalent exists yet; needs a manual decision (build a category index, or redirect to /fa/knowledge)."
https://dralirezasadighi.com/tag/جراحی-فک-سریع/,1,97,0.0103,80.74,tag,redirect-to-service-page,/fa/services/orthognathic-surgery,WordPress tag archive; no tag-archive equivalent on the new site — redirect to the closest service page (orthognathic-surgery).
https://dralirezasadighi.com/tag/فیلم-جراحی-فک/,1,92,0.0109,18.22,tag,redirect-to-service-page,/fa/services/orthognathic-surgery,WordPress tag archive; no tag-archive equivalent on the new site — redirect to the closest service page (orthognathic-surgery).
https://dralirezasadighi.com/author/dralirezasadighi/,0,190,0.0,5.59,unknown,needs-manual-review,,"No confident automatic match — likely an old/renamed slug, an FAQ/utility page, or orphaned content. Needs manual look before deciding."
https://dralirezasadighi.com/tag/درمان-ناهنجاری-فک/,0,177,0.0,54.27,tag,needs-manual-review,,WordPress tag archive with no clear single-topic match — pick a redirect target manually (or accept as a 404 if traffic is trivial).
https://dralirezasadighi.com/راهنمای-جامع-جراحی-فک-پایین-جلو-آمده-هر/راهنمای-جامع-جراحی-فک-پایین-جلو-آمده-هر/,0,158,0.0,74.04,unknown,needs-manual-review,,"No confident automatic match — likely an old/renamed slug, an FAQ/utility page, or orphaned content. Needs manual look before deciding."
https://dralirezasadighi.com/آیا-جراحی-فک-خطرناک-است؟/,0,140,0.0,24.98,unknown,needs-manual-review,,"No confident automatic match — likely an old/renamed slug, an FAQ/utility page, or orphaned content. Needs manual look before deciding."
https://dralirezasadighi.com/جراحی-فک-پایین-عقب-رفته-راهی-برای-بهبود/,0,133,0.0,33.88,unknown,redirect-to-knowledge-article,/fa/knowledge/جراحی-فک-پایین-عقب-رفته,"Looks like a historical/renamed permalink for the already-migrated post ""جراحی فک پایین عقب رفته: بهبودی و نتایج بلندمدت"" (https://dralirezasadighi.com/جراحی-فک-پایین-عقب-رفته/) — redirect straight to that post's new URL instead of treating as new content."
https://dralirezasadighi.com/blog/جراحی-فک/,0,123,0.0,8.17,category,redirect-to-service-page,/fa/services/orthognathic-surgery,WordPress blog/category archive; redirect to the closest matching service page.
https://dralirezasadighi.com/tag/رینوپلاستی/,0,113,0.0,83.99,tag,needs-manual-review,,WordPress tag archive with no clear single-topic match — pick a redirect target manually (or accept as a 404 if traffic is trivial).
https://dralirezasadighi.com/tag/ایمپلنت-اقساطی-در-تبریز-با-دکتر-علیرضا/,0,106,0.0,60.23,tag,redirect-to-service-page,/fa/services/advanced-dental-implant,WordPress tag archive; no tag-archive equivalent on the new site — redirect to the closest service page (advanced-dental-implant).
